text,label
ابغى شوف الاكل يلي موجود,X X X X X
فيني اطلب وجبة البيج تيستي,X X ItemName ItemName ItemName
فيني تابع الاوردر بليز,X X X X
شنو هاي,X X
عايز اشوف المنيو,X X X
انا جوعان,X X
بدي انتقل للخطوة يلي بعد هيك,X X X X X X
عايزة اشوف الطلبات المسجلة,X X X X
داير غير بياناتي,X X X
بغيت نغير البلاصة,X X X
اذهب للتالي,X X
شو يلي موجود بالأطباق الرئيسية,X X X MenuName MenuName
ابي الفاتورة يا اخي,X X X X
شحو العنوان,X X
انا عايزة اسال على حاجة,X X X X X
ممكن اشوف الاكل المفضل بتاعي,X X X X X
محتاج اشوف اوردر سابق بعنوان854,X X X X OrderNumber
بسلامة في لامان,X X X
الو,X
داير فى بالى الاكل المفضل لدى,X X X X X X
اوردرى اتاخر كتير جدا فين هو دلوقتى,X X X X X X X
عايز القائمة المفضلة,X X X
كنت عايزة قائمة تحديث البيانات من فضلك,X X X X X X X
عايزة انتقل للمرحلة التالية,X X X X
ارغب في تعديل رقم المحمول,X X X X X
اطلبلي 2 ماشروم اندسويس ساندوتش,X itemnumber ItemName ItemName ItemName
اريد تحويل اللغة الى العربية,X X X X Language
ابغى واحد وابر وسط,X itemnumber ItemName ItemSize
اعرضلي اكلي المفضل,X X X
شوفلي الطلبات,X X
ابي اتواصل مع ممثل خدمة عملا,X X X X X X
قداش الفاتورة,X X
زود 3 باكت بطاطس كبير,X itemnumber ItemName ItemName ItemSize
انا بدي ضيف العنوان,X X X X
اذا ما عليك امر ابغى اغير رقم جوالي 545454545,X X X X X X X X phone
لو سمحت غير رقم الموبايل الى 01149782635,X X X X X X phone
هستلم الطلبات في خلال قد ايه,X X X X X X
ممكن تقولي الاوردر تاني من فضلك,X X X X X X
ممكن اتساعدني,X X
ممكن توريني الأكل الي طلبته قبل كدا,X X X X X X X
فيني اعطيك محل الاقامة,X X X X
فيني غير المحل تبعي,X X X X
فيك تفرجيني المنيو اذا بتريد,X X X X X
عايزة اعرف كام الفاتورة,X X X X
اعرضلي القائمة المفضلة,X X X
السادس,X
ممكن تعرفنى حاجه,X X X
صرت بدي غير البيانات تبعي,X X X X X
معليش حبيبي ابي اغير رقم الجوال,X X X X X X
مرحبتين,X
عايز اسجل عنوان بيتي,X X X X
شصار بالأوردر,X X
عاوز منيو البرجرز في بوتشر برجر,X X X X X X
فيك تعدل لي عنوان البيت تبعي,X X X X X X
ممكن اخد الشيك,X X X
ابا اذهب للقائمة الرئيسية,X X X X
قداي بياخد الأكل,X X X
عايزة اشوف الأول منيو المقبلات,X X X X X
لا هلأ ما وصل الاوردر,X X X X X
يا ريت اشوف منيو السلطة,X X X X MenuName
عايز اتابع الأكل الي طلبته,X X X X X
عايزة اعرف الشيك عمل كام,X X X X X
ابغى غير رقم الموبايل حقي,X X X X X
واحدة كرانشي تشيكن ميل,itemnumber PredefinedMealName PredefinedMealName PredefinedMealName
صرت لازم انهي عملية الشراء,X X X X X
3 وجبات تربل بوكس و زود حلقات بصل مقلي,itemnumber PredefinedMealName PredefinedMealName PredefinedMealName X Include Topping_Include Topping_Include Topping_Include
ابعتلي منيو المشروبات في ستاربكس,X X X X X
اذا بدك تفرجيني القائمة المفضلة تبعي,X X X X X X
هدي عنوان البيت,X X X
اذا بدك ترسلي تفاصيل الطلب,X X X X X
عايز اتابع باللغة الفرنسية,X X X Language
بعتلي رابط القائمة الرئيسية هلا فيك,X X X X X X
ابي ضيف عنوان منزلي,X X X X
داير شوف الاشياء الي طلبتها,X X X X X
ابي اعرف شوية اشيا,X X X X
ضيفلي عنوان بيتي,X X X
اريد ان اطلع على المنيو,X X X X X
